2026-07-27 13:06:53,496 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-27 13:06:53,496 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-27 13:06:53,496 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-27 13:06:53,496 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-27 13:06:53,790 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Mon, 27 Jul 2026 10:06:53 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'X-Content-Type-Options', b'nosniff'), (b'mistral-correlation-id', b'019fa30a-ab2a-7ffd-b272-9bdb4fa96a6d'), (b'x-kong-request-id', b'019fa30a-ab2a-7ffd-b272-9bdb4fa96a6d'), (b'x-ratelimit-tokens-query-cost', b'27'), (b'x-ratelimit-limit-req-minute', b'60'), (b'x-ratelimit-remaining-req-minute', b'55'), (b'x-envoy-upstream-service-time', b'82'), (b'Server', b'cloudflare'), (b'access-control-allow-origin', b'*'), (b'x-kong-upstream-latency', b'83'), (b'x-kong-proxy-latency', b'15'), (b'Strict-Transport-Security', b'max-age=15552000; includeSubDomains; preload'), (b'cf-cache-status', b'DYNAMIC'), (b'Content-Encoding', b'gzip'), (b'CF-RAY', b'a21ad57e3bb38c19-ADD'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-07-27 13:06:53,790 | INFO     | httpx | HTTP Request: POST https://api.mistral.ai/v1/embeddings "HTTP/1.1 200 OK"
2026-07-27 13:06:53,792 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-27 13:06:53,795 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-27 13:06:53,796 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-27 13:06:53,796 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-27 13:06:53,827 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-27 13:06:53,827 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-27 13:06:53,827 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-27 13:06:53,827 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-27 13:06:53,827 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-27 13:06:55,112 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Mon, 27 Jul 2026 10:06:54 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'X-Content-Type-Options', b'nosniff'), (b'mistral-correlation-id', b'019fa30a-ac64-755d-b31a-0500ff0bbd97'), (b'x-kong-request-id', b'019fa30a-ac64-755d-b31a-0500ff0bbd97'), (b'x-max-retry-attempts-reached', b'false'), (b'x-ratelimit-limit-tokens-minute', b'50000'), (b'x-ratelimit-remaining-tokens-minute', b'49476'), (b'x-ratelimit-tokens-query-cost', b'256'), (b'x-ratelimit-limit-req-minute', b'50'), (b'x-ratelimit-remaining-req-minute', b'47'), (b'x-envoy-upstream-service-time', b'1125'), (b'Server', b'cloudflare'), (b'access-control-allow-origin', b'*'), (b'x-kong-upstream-latency', b'1126'), (b'x-kong-proxy-latency', b'19'), (b'Strict-Transport-Security', b'max-age=15552000; includeSubDomains; preload'), (b'cf-cache-status', b'DYNAMIC'), (b'Content-Encoding', b'gzip'), (b'CF-RAY', b'a21ad5803b06f7f3-ADD'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-07-27 13:06:55,112 | INFO     | httpx | HTTP Request: POST https://api.mistral.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-27 13:06:55,112 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-27 13:06:55,112 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-27 13:06:55,112 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-27 13:06:55,112 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-27 13:06:55,128 | INFO     | phoenix_rag.rag_pipeline | Answering question 4/10
2026-07-27 13:06:55,128 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-27 13:06:55,140 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-27 13:06:55,140 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-27 13:06:55,144 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-27 13:06:55,144 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-07-27 13:06:55,416 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Mon, 27 Jul 2026 10:06:54 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'X-Content-Type-Options', b'nosniff'), (b'mistral-correlation-id', b'019fa30a-b17f-7be7-9730-1a266e3eaaa1'), (b'x-kong-request-id', b'019fa30a-b17f-7be7-9730-1a266e3eaaa1'), (b'x-ratelimit-tokens-query-cost', b'14'), (b'x-ratelimit-limit-req-minute', b'60'), (b'x-ratelimit-remaining-req-minute', b'54'), (b'x-envoy-upstream-service-time', b'83'), (b'Server', b'cloudflare'), (b'access-control-allow-origin', b'*'), (b'x-kong-upstream-latency', b'84'), (b'x-kong-proxy-latency', b'11'), (b'Strict-Transport-Security', b'max-age=15552000; includeSubDomains; preload'), (b'cf-cache-status', b'DYNAMIC'), (b'Content-Encoding', b'gzip'), (b'CF-RAY', b'a21ad58868d48c19-ADD'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-07-27 13:06:55,431 | INFO     | httpx | HTTP Request: POST https://api.mistral.ai/v1/embeddings "HTTP/1.1 200 OK"
2026-07-27 13:06:55,432 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-07-27 13:06:55,432 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-07-27 13:06:55,432 | DEBUG    | httpcore.http11 | response_closed.started
2026-07-27 13:06:55,432 | DEBUG    | httpcore.http11 | response_closed.complete
2026-07-27 13:06:55,461 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-07-27 13:06:55,463 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-07-27 13:06:55,465 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-07-27 13:06:55,468 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-07-27 13:06:55,468 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
